title,release_date,budget,revenue,vote_average,genres_cleaned
The Kingdom,2007-08-22,70000000.0,86658558.0,6.5,"Thriller, Action, Drama"
Gloss,2007-08-23,2500000.0,4684165.0,3.6,"Comedy, Drama"
Fishtales,2007-08-24,14000000.0,9216.0,4.0,"Fantasy, Drama, Comedy, Science Fiction, Romance, Family, Foreign"
War,2007-08-24,25000000.0,40452643.0,6.0,"Action, Thriller, Crime"
The Nanny Diaries,2007-08-24,20000000.0,47738099.0,6.1,"Comedy, Drama, Romance"
"4 Months, 3 Weeks and 2 Days",2007-08-24,852510.0,1185783.0,7.4,Drama
Eye of the Dolphin,2007-08-24,2500000.0,71904.0,7.1,Drama
Atonement,2007-08-29,30000000.0,129266061.0,7.4,"Drama, Romance"
Halloween,2007-08-31,15000000.0,80253908.0,5.9,Horror
Death Sentence,2007-08-31,20000000.0,16974459.0,6.4,"Action, Crime, Drama, Thriller"
In the Valley of Elah,2007-08-31,23000000.0,29541790.0,6.6,"History, Drama, Thriller, Crime, Mystery"
To Rob a Thief,2007-08-31,4002313.0,6.0,6.0,"Action, Adventure, Comedy, Foreign"
Flawless,2007-09-01,20000000.0,6819587.0,6.6,"Crime, Drama, Thriller"
The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,30000000.0,14711793.0,7.0,"Action, Drama, Western"
Battle for Terra,2007-09-06,4000000.0,6101046.0,6.0,"Action, Adventure, Animation, Science Fiction"
Antidur,2007-09-06,5000000.0,1413000.0,1.0,"Action, Comedy, Crime, Foreign"
3:10 to Yuma,2007-09-06,55000000.0,70016220.0,6.9,Western
"Run, Fatboy, Run",2007-09-06,10000000.0,33000000.0,6.2,"Comedy, Romance"
The Mother of Tears,2007-09-06,3500000.0,54947.0,4.1,Horror
Rendition,2007-09-07,27500000.0,24748670.0,6.2,"Drama, Thriller"
Meet Bill,2007-09-07,5000000.0,346592.0,5.9,"Comedy, Drama, Romance"
